id,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
30,female,group D,master's degree,standard,none,62,70,75
536,female,group C,bachelor's degree,free/reduced,completed,66,83,83
696,female,group D,some college,free/reduced,none,79,89,86
558,male,group C,master's degree,free/reduced,none,61,67,66
837,male,group E,high school,standard,none,73,64,57
597,male,group B,high school,free/reduced,none,30,24,15
166,female,group C,bachelor's degree,standard,completed,96,100,100
919,female,group C,associate's degree,standard,completed,57,77,80
496,male,group D,high school,standard,completed,68,64,66
825,female,group C,some high school,free/reduced,none,48,58,52
66,male,group B,some high school,standard,none,67,64,61
142,female,group C,some college,free/reduced,none,59,62,64
926,male,group E,some high school,standard,completed,74,64,60
828,female,group C,some high school,standard,none,65,69,76
656,female,group B,some college,standard,none,62,67,67
332,male,group C,associate's degree,standard,none,47,37,35
665,male,group D,associate's degree,standard,none,80,63,63
250,male,group C,high school,standard,none,68,60,53
908,female,group D,some college,standard,completed,79,84,91
709,male,group D,high school,standard,none,89,87,79
306,male,group A,some college,standard,none,69,67,69
735,female,group E,some college,free/reduced,none,53,58,57
976,female,group C,some college,standard,completed,64,82,77
50,male,group C,high school,standard,completed,82,84,82
897,male,group B,high school,free/reduced,none,36,29,27
3,female,group B,master's degree,standard,none,90,95,93
545,female,group D,master's degree,standard,none,64,63,66
351,female,group B,bachelor's degree,standard,none,52,65,69
905,female,group D,some high school,free/reduced,none,67,84,84
537,male,group C,associate's degree,standard,completed,51,60,58
345,male,group D,some college,standard,none,79,73,67
995,male,group A,high school,standard,none,63,63,62
482,female,group D,associate's degree,free/reduced,none,52,59,56
576,male,group A,associate's degree,free/reduced,completed,40,55,53
34,male,group D,some college,standard,none,40,42,38
32,female,group B,some college,standard,none,63,65,61
232,male,group C,associate's degree,standard,none,46,43,42
964,female,group C,some high school,free/reduced,completed,65,76,75
193,female,group B,some high school,standard,none,62,64,66
334,male,group B,associate's degree,standard,none,90,78,81
4,male,group A,associate's degree,free/reduced,none,47,57,44
205,male,group C,some college,standard,none,59,41,42
515,female,group B,master's degree,free/reduced,completed,77,97,94
800,female,group C,associate's degree,standard,none,52,55,57
307,male,group E,some college,standard,completed,99,87,81
110,female,group B,some high school,standard,none,70,64,72
431,male,group C,associate's degree,free/reduced,none,64,66,59
78,male,group A,bachelor's degree,standard,completed,80,78,81
85,male,group D,high school,free/reduced,none,42,39,34
287,male,group E,associate's degree,standard,completed,97,82,88
83,male,group A,some college,free/reduced,completed,50,47,54
992,female,group B,some high school,standard,completed,65,82,78
790,female,group C,master's degree,free/reduced,none,52,65,61
895,female,group E,associate's degree,standard,none,59,62,69
399,male,group B,some high school,standard,none,74,63,57
324,female,group C,some high school,free/reduced,none,43,53,53
520,female,group B,high school,free/reduced,completed,67,78,79
917,male,group E,bachelor's degree,standard,completed,100,100,100
923,male,group D,high school,standard,none,72,66,66
6,female,group B,associate's degree,standard,none,71,83,78
732,male,group A,some high school,free/reduced,none,55,46,43
466,female,group C,some college,standard,none,84,87,91
98,female,group E,some college,standard,completed,63,72,70
267,female,group C,bachelor's degree,standard,none,63,75,81
358,female,group C,some college,free/reduced,completed,42,66,69
869,male,group E,associate's degree,free/reduced,completed,78,74,72
799,male,group E,some college,standard,none,69,60,54
381,female,group B,associate's degree,standard,none,80,86,83
632,male,group B,high school,standard,none,79,60,65
382,male,group C,associate's degree,standard,completed,87,100,95
491,female,group A,associate's degree,free/reduced,none,65,85,76
119,female,group D,some high school,standard,none,51,63,61
901,male,group D,master's degree,standard,none,85,84,89
251,male,group A,some high school,standard,completed,47,49,49
524,male,group C,master's degree,free/reduced,none,54,59,50
10,female,group B,high school,free/reduced,none,38,60,50
197,male,group C,some high school,free/reduced,completed,59,69,65
604,male,group D,high school,free/reduced,none,60,57,51
82,male,group B,high school,free/reduced,none,49,45,45
784,female,group C,associate's degree,standard,completed,52,59,62
588,female,group C,bachelor's degree,free/reduced,none,44,63,62
798,female,group E,associate's degree,free/reduced,none,70,84,81
240,male,group C,associate's degree,standard,none,84,80,80
291,male,group C,associate's degree,standard,none,76,70,68
212,male,group C,some college,free/reduced,none,35,28,27
718,female,group C,associate's degree,standard,completed,96,96,99
360,female,group D,some college,standard,none,80,90,89
450,male,group B,associate's degree,standard,none,81,73,72
228,male,group D,high school,standard,none,57,50,54
951,male,group E,high school,standard,none,94,73,71
947,male,group B,high school,standard,none,82,82,80
797,male,group D,high school,standard,none,70,70,70
502,female,group B,associate's degree,standard,completed,94,87,92
465,male,group A,bachelor's degree,standard,completed,75,58,62
363,female,group C,some college,standard,none,52,58,58
469,female,group A,high school,free/reduced,completed,77,88,85
936,male,group D,some college,free/reduced,none,70,63,58
429,male,group A,some high school,free/reduced,none,65,59,53
8,male,group B,some college,free/reduced,none,40,43,39
156,female,group C,some college,standard,completed,70,89,88
542,male,group D,associate's degree,free/reduced,completed,79,82,80
441,female,group C,some college,standard,completed,67,81,79
483,male,group C,some college,free/reduced,none,68,68,61
423,female,group D,master's degree,free/reduced,completed,47,58,67
779,female,group A,some college,standard,completed,72,79,82
950,female,group E,high school,free/reduced,completed,57,75,73
335,female,group C,bachelor's degree,standard,none,83,93,95
577,male,group A,some college,standard,completed,61,51,52
935,male,group C,associate's degree,standard,completed,98,87,90
568,female,group D,master's degree,free/reduced,completed,61,71,78
595,female,group C,bachelor's degree,standard,completed,92,100,99
531,female,group C,associate's degree,standard,completed,68,67,73
582,female,group E,some high school,standard,none,77,79,80
708,male,group C,some college,standard,none,66,59,52
449,male,group B,high school,standard,none,47,46,42
454,male,group C,some college,free/reduced,none,65,58,49
229,male,group A,some high school,free/reduced,none,68,72,64
353,female,group C,some college,standard,completed,63,78,80
729,female,group D,high school,free/reduced,none,73,92,84
213,female,group C,high school,free/reduced,none,42,62,60
80,female,group E,master's degree,standard,none,62,68,68
149,female,group D,bachelor's degree,standard,completed,68,75,81
303,female,group C,associate's degree,standard,completed,67,84,81
629,male,group D,some college,free/reduced,none,49,57,46
778,female,group C,some college,free/reduced,none,35,44,43
507,male,group A,high school,standard,none,68,70,66
343,female,group B,high school,standard,completed,69,76,74
486,male,group C,high school,standard,none,70,74,71
712,female,group E,some high school,standard,completed,80,85,85
134,female,group C,some college,standard,completed,75,81,84
704,female,group D,some college,standard,none,63,64,67
312,male,group B,bachelor's degree,standard,none,66,60,57
723,female,group B,some high school,free/reduced,completed,74,90,88
630,female,group C,some high school,standard,completed,44,51,55
1,female,group B,bachelor's degree,standard,none,72,72,74
317,female,group D,master's degree,standard,completed,77,82,91
707,male,group D,high school,standard,none,46,34,36
548,male,group C,high school,standard,completed,72,67,64
873,male,group B,associate's degree,standard,completed,82,84,78
533,male,group E,associate's degree,standard,completed,62,61,58
478,male,group D,associate's degree,standard,none,80,68,72
405,female,group C,high school,standard,none,54,59,62
173,female,group D,some college,standard,none,79,86,81
126,female,group B,high school,standard,none,87,95,86
395,female,group C,some high school,standard,completed,65,74,77
421,female,group C,associate's degree,free/reduced,completed,82,93,93
