iter	Passed	Remaining
0	1	101
1	1	80
2	2	70
3	2	70
4	3	75
5	5	78
6	6	80
7	7	80
8	8	80
9	8	80
10	9	79
11	10	79
12	11	77
13	12	76
14	13	74
15	13	73
16	14	72
17	15	70
18	16	69
19	17	68
20	17	66
21	18	65
22	19	64
23	19	63
24	20	61
25	21	60
26	22	59
27	22	58
28	23	57
29	24	56
30	24	55
31	25	54
32	26	53
33	27	52
34	27	51
35	28	50
36	29	49
37	30	49
38	30	48
39	31	47
40	31	45
41	32	44
42	32	43
43	33	42
44	34	41
45	34	40
46	35	39
47	35	38
48	36	38
49	37	37
50	37	36
51	38	35
52	38	34
53	39	33
54	39	32
55	40	31
56	41	30
57	41	30
58	42	29
59	43	28
60	44	28
61	44	27
62	45	26
63	46	25
64	46	25
65	47	24
66	47	23
67	48	22
68	48	21
69	49	21
70	49	20
71	50	19
72	50	18
73	51	18
74	51	17
75	52	16
76	52	15
77	53	15
78	53	14
79	54	13
80	54	12
81	55	12
82	56	11
83	56	10
84	57	10
85	57	9
86	58	8
87	58	8
88	59	7
89	59	6
90	60	5
91	60	5
92	61	4
93	61	3
94	62	3
95	62	2
96	63	1
97	63	1
98	64	0
99	64	0
